ID ing. Serial |ID msj   |Serial|Estado|Cod. Operacion|NMU|Cod. Deposito|Errores |Fecha Modifi.|Usuario |
21361184|47995722|101891000043445|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361186|47995722|101891000043446|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361189|47995722|101891000043447|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361192|47995722|101891000043448|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361196|47995722|101891000043449|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361199|47995722|101891000043450|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361201|47995722|101891000043451|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361206|47995722|101891000043452|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361210|47995722|101891000043453|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361213|47995722|101891000043454|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361215|47995722|101891000043455|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361218|47995722|101891000043456|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361220|47995722|101891000043457|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361224|47995722|101891000043458|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361226|47995722|101891000043459|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361228|47995722|101891000043460|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361232|47995722|101891000043461|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361235|47995722|101891000043462|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361238|47995722|101891000043463|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361242|47995722|101891000043464|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361245|47995722|101891000043465|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361247|47995722|101891000043466|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361251|47995722|101891000043467|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361254|47995722|101891000043468|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361257|47995722|101891000043469|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361260|47995722|101891000043470|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361264|47995722|101891000043471|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361265|47995722|101891000043472|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361268|47995722|101891000043473|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361270|47995722|101891000043474|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361272|47995722|101891000043475|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361274|47995722|101891000043476|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
